cert_episode_violation_rate,uncert_episode_violation_rate,cert_violation_rate,uncert_violation_rate,cert_time_to_first_violation,uncert_time_to_first_violation,cert_integrated_slack,uncert_integrated_slack,cert_max_violation,uncert_max_violation,num_corrections,total_correction_magnitude,max_correction,mean_correction,correction_rate,cert_mean_action_rate,cert_max_action_rate,uncert_mean_action_rate,uncert_max_action_rate,cert_control_effort_l1,uncert_control_effort_l1,cert_control_effort_l2,uncert_control_effort_l2,cert_compute_time_total,cert_compute_time_per_step,uncert_compute_time_total,uncert_compute_time_per_step,experiment,ablation,seed,horizon,cost_horizon,max_w,terminal_set
1.0,1.0,0.5483443708609271,0.5882352941176471,0,2,9.618475104528603,21.48483239016385,0.028279209757961304,1.674471430954604,707,6328.097574425254,18.9742207027868,8.950633061133537,0.9364238410596026,0.0890845290667328,1.80613256454693,0.06154900789260864,0.30612003803253174,139.95677313209515,25.110349655151367,46.660190431742805,15.290811538696289,2.6595800550003332,0.003522622589404415,0.06639559999985067,0.0013018745098009937,baseline_h20_ch10_w0.001_tsfalse,baseline,42,20,10,0.001,False
1.0,1.0,0.5112582781456954,0.5892857142857143,0,2,8.512113054477187,22.1487448231686,0.028279209757961304,1.8118981123132398,698,5144.6611136313795,18.095744504782232,7.370574659047271,0.9245033112582781,0.09988816948421417,1.3134779169033484,0.11651836335659027,0.9538271427154541,141.9813101096879,25.227441787719727,46.16038518935608,16.29867172241211,1.9312375529998462,0.0025579305337746308,0.06323159699968528,0.0011291356607086658,baseline_h20_ch10_w0.002_tsfalse,baseline,42,20,10,0.002,False
1.0,1.0,0.08850931677018634,0.7083333333333334,0,2,1.1805062030766018,24.322889791258582,0.028279209757961304,1.7724057951793994,631,5965.713901349297,19.361080989759003,9.4543801921992,0.9798136645962733,0.05197897993273258,1.3424322429425364,0.1638021171092987,0.9611397981643677,55.243144411242525,11.760767936706543,20.991986588983448,6.201303005218506,1.7071757809999326,0.0026508940698756716,0.06569886000033875,0.0013687262500070574,baseline_h20_ch10_w0.005_tsfalse,baseline,42,20,10,0.005,False
1.0,1.0,0.5483443708609271,0.5882352941176471,0,2,9.618475104528603,21.48483239016385,0.028279209757961304,1.674471430954604,707,6328.097574425254,18.9742207027868,8.950633061133537,0.9364238410596026,0.0890845290667328,1.80613256454693,0.06154900789260864,0.30612003803253174,139.95677313209515,25.110349655151367,46.660190431742805,15.290811538696289,2.076013359999706,0.0027496865695360345,0.06910884199987777,0.0013550753333309367,baseline_h20_ch6_w0.001_tsfalse,baseline,42,20,6,0.001,False
1.0,1.0,0.5112582781456954,0.5892857142857143,0,2,8.512113054477187,22.1487448231686,0.028279209757961304,1.8118981123132398,698,5144.6611136313795,18.095744504782232,7.370574659047271,0.9245033112582781,0.09988816948421417,1.3134779169033484,0.11651836335659027,0.9538271427154541,141.9813101096879,25.227441787719727,46.16038518935608,16.29867172241211,2.243067860999872,0.002970950809271354,0.06802452800002357,0.001214723714286135,baseline_h20_ch6_w0.002_tsfalse,baseline,42,20,6,0.002,False
1.0,1.0,0.08850931677018634,0.7083333333333334,0,2,1.1805062030766018,24.322889791258582,0.028279209757961304,1.7724057951793994,631,5965.713901349297,19.361080989759003,9.4543801921992,0.9798136645962733,0.05197897993273258,1.3424322429425364,0.1638021171092987,0.9611397981643677,55.243144411242525,11.760767936706543,20.991986588983448,6.201303005218506,1.8803217450004013,0.002919754262422983,0.06738953100011713,0.0014039485625024402,baseline_h20_ch6_w0.005_tsfalse,baseline,42,20,6,0.005,False
1.0,1.0,0.5483443708609271,0.5882352941176471,0,2,9.618475104528603,21.48483239016385,0.028279209757961304,1.674471430954604,707,6328.097574425254,18.9742207027868,8.950633061133537,0.9364238410596026,0.0890845290667328,1.80613256454693,0.06154900789260864,0.30612003803253174,139.95677313209515,25.110349655151367,46.660190431742805,15.290811538696289,1.8525239700002203,0.002453674132450623,0.08361307600080181,0.0016394720784470944,baseline_h20_ch8_w0.001_tsfalse,baseline,42,20,8,0.001,False
1.0,1.0,0.5112582781456954,0.5892857142857143,0,2,8.512113054477187,22.1487448231686,0.028279209757961304,1.8118981123132398,698,5144.6611136313795,18.095744504782232,7.370574659047271,0.9245033112582781,0.09988816948421417,1.3134779169033484,0.11651836335659027,0.9538271427154541,141.9813101096879,25.227441787719727,46.16038518935608,16.29867172241211,1.8215250620005463,0.002412615976159664,0.06748384200000146,0.0012050686071428832,baseline_h20_ch8_w0.002_tsfalse,baseline,42,20,8,0.002,False
1.0,1.0,0.08850931677018634,0.7083333333333334,0,2,1.1805062030766018,24.322889791258582,0.028279209757961304,1.7724057951793994,631,5965.713901349297,19.361080989759003,9.4543801921992,0.9798136645962733,0.05197897993273258,1.3424322429425364,0.1638021171092987,0.9611397981643677,55.243144411242525,11.760767936706543,20.991986588983448,6.201303005218506,1.7028141319997303,0.0026441213229809477,0.05541947500023525,0.0011545723958382343,baseline_h20_ch8_w0.005_tsfalse,baseline,42,20,8,0.005,False
1.0,1.0,0.5748344370860927,0.6883116883116883,0,2,9.768207082394111,33.50085187518676,0.028279209757961304,1.8018652917443063,727,5841.1640858866995,16.396198441917186,8.03461359808588,0.9629139072847682,0.07718084913732251,1.048891747459432,0.07535986602306366,0.8728438019752502,133.09868935548403,16.058792114257812,38.62920529261146,6.761295795440674,2.296705216999726,0.003041993664900299,0.134388038999532,0.00174529920778613,no_correction_bonus_h20_ch10_w0.001_tsfalse,no_correction_bonus,42,20,10,0.001,False
